backend-api  | Gateway running on port 3000
backend-api  | {"ts":"2026-06-02T07:39:53.031Z","event":"http_request","method":"GET","path":"/health","status":200,"duration_ms":9.53,"ip":"::ffff:172.21.0.1","request_id":"62f5690c-50ce-49be-a406-81c41698bfc0","trace_id":"c839caa256a5b9233aa7edd8c3b0ae9c","span_id":"75f17812ee9e7c64"}
backend-api  | {"ts":"2026-06-02T07:42:06.998Z","event":"vault_reload","duration_ms":9.122}
backend-api  | {"ts":"2026-06-02T07:42:07.000Z","event":"http_request","method":"POST","path":"/api/crypto/reload-keys","status":200,"duration_ms":12.037,"ip":"::ffff:172.21.0.1","request_id":"95949b73-c3c7-40a9-93d9-db25f644ce2b","trace_id":"9237854bc39cb0c840fdc6d9b14841b6","span_id":"0e449ff299e7008d"}
backend-api  | {"ts":"2026-06-02T07:42:08.752Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":1.026,"ip":"::ffff:172.21.0.1","request_id":"4272c54d-f478-436a-a5be-c5c7dab6eac4","trace_id":"1f4e0c33d7ee55453c2e044b5d5e9057","span_id":"27aba4099a8b53a6"}
backend-api  | {"ts":"2026-06-02T07:48:58.819Z","event":"http_request","method":"POST","path":"/api/demo/token/hs256","status":200,"duration_ms":10.118,"ip":"::ffff:172.21.0.1","request_id":"4c978f90-30af-40a1-9927-ea999199b5a5","trace_id":"b2d58893074009cf1786e7ad6bb933a8","span_id":"3cd339980b0092f6"}
backend-api  | {"ts":"2026-06-02T07:49:06.574Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"demo-user-hs256","duration_ms":2.563,"trace_id":"7448a1e7e4891e94d822f2db6eb9b83c"}
backend-api  | {"ts":"2026-06-02T07:49:06.575Z","event":"http_request","method":"GET","path":"/api/crypto/jwt-algorithm","status":200,"duration_ms":4.415,"ip":"::ffff:172.21.0.1","request_id":"1f54c616-5cce-43bc-b344-0f83c3968a5c","trace_id":"7448a1e7e4891e94d822f2db6eb9b83c","span_id":"23d1ea123ff656f5"}
backend-api  | {"ts":"2026-06-02T07:49:15.858Z","event":"jwt_verify_success","alg":"HS256","kid":"hs256-v1","sub":"demo-user-hs256","duration_ms":1.608,"trace_id":"4c8b9c921ad2a9f6dcccb5adf4556a5e"}
backend-api  | {"ts":"2026-06-02T07:49:15.859Z","event":"http_request","method":"GET","path":"/api/admin","status":403,"duration_ms":2.422,"ip":"::ffff:172.21.0.1","request_id":"d9ec9f3c-8761-4e82-9f29-269bfae42d92","trace_id":"4c8b9c921ad2a9f6dcccb5adf4556a5e","span_id":"0ca311704ea7ef9f"}
backend-api  | {"ts":"2026-06-02T07:51:02.279Z","event":"http_request","method":"GET","path":"/api/crypto/key-status","status":200,"duration_ms":0.662,"ip":"::ffff:172.21.0.1","request_id":"584bc257-7cea-4cb7-9837-9e7f34789c20","trace_id":"321919417d829ac132e592b5e8b169e2","span_id":"0756cdab21e3c689"}
