name,scenario,algorithm,cacheStrategy,concurrency,runs,rps_mean,rps_stddev,avg_ms_mean,p50_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,total_requests_sum,errors_sum,files
"es256-local-verify","alg-compare","ES256","",100,3,507.547,37.112,197.399,187.177,329.528,409.877,540.959,45949,0,"20260531145919-es256-local-verify.json;20260531150021-es256-local-verify.json;20260531150122-es256-local-verify.json"
"hs256-local-verify","alg-compare","HS256","",100,3,530.48,74.744,191.708,167.007,358.254,564.147,858.746,48214,0,"20260531145848-hs256-local-verify.json;20260531145950-hs256-local-verify.json;20260531150051-hs256-local-verify.json"
"es256-local-verify","baseline","ES256","",10,1,468.57,0,21.308,19.474,32.379,50.037,95.931,7045,0,"20260523093125-es256-local-verify.json"
"es256-local-verify","baseline","ES256","",100,1,514.67,0,193.611,172.385,315.19,496.443,660.278,15542,0,"20260523093807-es256-local-verify.json"
"hmac-request-verification","baseline","","",10,1,502.5,0,19.884,18.789,28.988,42.522,63.17,7547,0,"20260523093227-hmac-request-verification.json"
"hmac-request-verification","baseline","","",100,1,483.45,0,206.142,206.242,249.967,265.039,354.33,14602,0,"20260523095348-hmac-request-verification.json"
"hs256-local-verify","baseline","HS256","",2,1,1028.97,0,1.94,1.756,3.088,3.92,8.386,2060,0,"20260523092631-hs256-local-verify.json"
"hs256-local-verify","baseline","HS256","",10,1,571.26,0,17.49,16.056,25.922,35.041,53.713,8578,0,"20260523093108-hs256-local-verify.json"
"hs256-local-verify","baseline","HS256","",100,1,608.82,0,163.873,159.89,204.345,230.307,316.281,18342,0,"20260523093737-hs256-local-verify.json"
"introspection-validation","baseline","","",10,1,683.89,0,14.605,13.464,21.81,29.995,38.31,10283,0,"20260523093202-introspection-validation.json"
"introspection-validation","baseline","","",100,1,563.43,0,177.001,166.468,268.244,338.089,389.276,16997,0,"20260523093838-introspection-validation.json"
"vault-key-reload","baseline","","",2,1,211.81,0,9.437,8.465,15.066,25.487,85.76,2120,0,"20260523093300-vault-key-reload.json"
"introspection-validation","introspection-cache","","cache-on",100,3,639.78,8.071,155.756,146.456,228.048,295.191,361.809,57973,0,"20260531150659-introspection-validation.json;20260531150729-introspection-validation.json;20260531150800-introspection-validation.json"
"introspection-validation","introspection-cache","","cache-off",100,3,431.853,71.728,237.391,232.669,364.973,479.308,643.89,39242,0,"20260531150900-introspection-validation.json;20260531150931-introspection-validation.json;20260531151002-introspection-validation.json"
"hs256-local-verify","validation-mode","HS256","",100,3,607.28,14.175,164.273,150.909,262.543,324.702,425.906,54936,0,"20260531150328-hs256-local-verify.json;20260531150429-hs256-local-verify.json;20260531150530-hs256-local-verify.json"
"introspection-validation","validation-mode","","cache-on",100,3,630.267,8.003,158.101,148.256,231.219,311.241,406.711,57122,0,"20260531150359-introspection-validation.json;20260531150500-introspection-validation.json;20260531150601-introspection-validation.json"
